shortest_distance,number_of_links,number_of_left_turn,number_of_right_turn,number_of_u_turn,freq_road_type_1,freq_road_type_2,freq_road_type_3,freq_road_type_4,freq_road_type_5,freq_road_type_6,link_length,lanes,road_type_1,road_type_2,road_type_3,road_type_4,road_type_5,road_type_6
0.2071601812105593,1.0482584086605906,-0.23153990527681095,-0.018379895088850635,0.3083421252401993,-0.033231249298657096,0.6234182125645407,0.0,-0.30185274364411935,0.0,-0.1029159818084859,0.0,-0.012114545731028901,-0.018153444233129024,0.0,-0.3758932426280594,0.0,0.0,0.0
0.1475113306864109,0.9868983680916833,-0.242823377582283,-0.07911516606703203,0.29520797371325413,-0.02774066447344786,0.5553292411704916,0.0,-0.2881072435945738,0.0,-0.11173985148403252,0.0,0.006104804015986229,-0.07793929311051372,0.0,-0.3483222864418406,0.0,0.0,0.0
0.08557271087142716,0.9377930898834721,-0.2114525499379293,-0.08052212410147495,0.29553668378625775,-0.024569392090910747,0.5119418600681921,0.0,-0.29638911682345126,0.0,-0.10544171128090102,0.0,-0.08647593328656203,0.08807817679222525,0.0,-0.382540097759426,0.0,0.0,0.0
0.02144151353678964,0.6768191641501808,-0.248035212641258,-0.07450664374928419,0.2847404347363288,-0.019782038786720406,0.44328120075004984,0.0,-0.287275314819159,0.0,-0.10285030879624889,0.0,-0.029834123584880416,-0.12787565983660448,0.0,-0.3454587291656406,0.0,0.0,0.0
-0.04628090047040915,0.5521576361200816,-0.23473346380720042,-0.07296217294172082,0.2959579540291191,-0.022030573685073194,0.38827434179800147,0.0,-0.28623251794686816,0.0,-0.11207798708373871,0.0,-0.02892580641839871,-0.12275477964547186,0.0,-0.3314651207383591,0.0,0.0,0.0
-0.11541426030596341,0.43685995163047636,-0.23233840831787225,-0.08211314490294959,0.295752945745603,-0.017293492013397818,0.33473174900719155,0.0,-0.29159649598885423,0.0,-0.1045115099455688,0.0,-0.07088178162129632,-0.11953245546267958,0.0,-0.33283406071897886,0.0,0.0,0.0
-0.16501740569428977,0.21899206595070023,-0.23658038386928532,-0.06898184181807263,0.2981044970645083,-0.020955702593230246,0.2776635157462904,0.0,-0.28928299626688403,0.0,-0.10747447803918322,0.0,-0.029270908882395225,-0.06781884197390264,0.0,-0.3279129409897277,0.0,0.0,0.0
-0.23226795610135173,0.07025085895211682,-0.22802551395288398,-0.06710396278873487,0.289336343279716,-0.01273549829745711,0.22159642629731643,0.0,-0.28458294729828915,0.0,-0.11421559309053791,0.0,-0.005872253106627716,-0.062499554359575674,0.0,-0.3333402672711604,0.0,0.0,0.0
-0.2989438731348594,-0.012986301715514905,-0.23353397225363157,-0.08199605860965249,0.29023593340510423,-0.021839864829944808,0.1702703535064687,0.0,-0.28275972786271447,0.0,-0.12112970332201588,0.0,-0.020560154855821317,-0.06715598912223192,0.0,-0.32874660548141404,0.0,0.0,0.0
-0.3648403351912485,-0.11830288271996489,-0.23504914884310452,-0.06111048306177948,0.28927074420832016,-0.01690543276695384,0.10312266289428765,0.0,-0.28188338597300233,0.0,-0.11706460809146454,0.0,0.015480458157793387,-0.06472493536221624,0.0,-0.33676367151279796,0.0,0.0,0.0
